"Species","Depth_bin","p"
"Arctic skate","0",0
"Arctic skate","10",0
"Arctic skate","20",0
"Arctic skate","30",0
"Arctic skate","40",0
"Arctic skate","50",0
"Arctic skate","60",0
"Arctic skate","70",0
"Arctic skate","80",0
"Arctic skate","90",0
"Arctic skate","100",0
"Arctic skate","110",0
"Arctic skate","120",0
"Arctic skate","130",0
"Arctic skate","140",0
"Arctic skate","150",0
"Arctic skate","160",0
"Arctic skate","170",0
"Arctic skate","180",0
"Arctic skate","190",0
"Arctic skate","200",0
"Arctic skate","210",0
"Arctic skate","220",0
"Arctic skate","230",0
"Arctic skate","240",0
"Arctic skate","250",0
"Arctic skate","260",0
"Arctic skate","270",0
"Arctic skate","280",0
"Arctic skate","290",0
"Arctic skate","300",0
"Arctic skate","310",3.28542094455852e-05
"Arctic skate","320",4.92813141683778e-05
"Arctic skate","330",4.92813141683778e-05
"Arctic skate","340",0.000147843942505133
"Arctic skate","350",0.000213552361396304
"Arctic skate","360",3.28542094455852e-05
"Arctic skate","370",0.000262833675564682
"Arctic skate","380",0.000180698151950719
"Arctic skate","390",8.33637861228088e-05
"Arctic skate","400",0.000351879082123923
"Arctic skate","410",0.000801092530075755
"Arctic skate","420",0.000232887281799453
"Arctic skate","430",0.000821133349695455
"Arctic skate","440",0.00113470350023108
"Arctic skate","450",0.00151158570989991
"Arctic skate","460",0.00186814254232036
"Arctic skate","470",0.00322463783821643
"Arctic skate","480",0.0035975918262849
"Arctic skate","490",0.00416468100823683
"Arctic skate","500",0.00378714242435142
"Arctic skate","510",0.00571950542031031
"Arctic skate","520",0.00675497623758323
"Arctic skate","530",0.00689090686566304
"Arctic skate","540",0.00516312121565057
"Arctic skate","550",0.00491600623966737
"Arctic skate","560",0.00461195581683402
"Arctic skate","570",0.00448759940870137
"Arctic skate","580",0.00401697222743694
"Arctic skate","590",0.00427245563676359
"Arctic skate","600",0.00356625158775781
"Arctic skate","610",0.00434795743361582
"Arctic skate","620",0.00551900826055979
"Arctic skate","630",0.00591141526073622
"Arctic skate","640",0.0057323065476225
"Arctic skate","650",0.0058145923508307
"Arctic skate","660",0.00598416730638681
"Arctic skate","670",0.00767972405471685
"Arctic skate","680",0.00903133225777172
"Arctic skate","690",0.00742274223681022
"Arctic skate","700",0.00896402849268792
"Arctic skate","710",0.0100999472752138
"Arctic skate","720",0.0106956207622676
